iter	Passed	Remaining
162	382	1961
163	383	1953
164	384	1944
165	385	1937
166	386	1928
167	387	1919
168	388	1911
169	391	1909
170	392	1903
171	393	1894
172	394	1886
173	395	1878
174	396	1869
175	397	1862
176	398	1854
177	399	1846
178	400	1838
179	401	1830
180	402	1822
181	404	1816
182	405	1811
183	407	1806
184	409	1803
185	410	1797
186	411	1789
187	412	1782
188	413	1774
189	414	1767
190	415	1760
191	416	1753
192	417	1746
193	418	1740
194	420	1735
195	421	1730
196	423	1724
197	423	1717
198	425	1712
199	426	1705
200	427	1699
201	428	1692
202	429	1685
203	430	1679
204	431	1672
205	432	1666
206	433	1660
207	434	1655
208	436	1651
209	437	1646
210	439	1641
211	440	1636
212	441	1632
213	443	1627
214	444	1622
215	445	1617
216	446	1612
217	447	1606
218	449	1603
219	450	1598
220	451	1593
221	452	1587
222	453	1581
223	454	1575
224	455	1570
225	456	1564
226	458	1560
227	459	1555
228	460	1550
229	461	1544
230	462	1539
231	464	1536
232	465	1532
233	468	1532
234	469	1527
235	470	1522
236	471	1517
237	472	1512
238	473	1506
239	474	1502
240	475	1497
241	476	1491
242	477	1486
243	479	1484
244	480	1481
245	481	1476
246	482	1471
247	483	1466
248	484	1461
249	485	1456
250	486	1452
251	487	1447
252	488	1442
253	489	1437
254	490	1432
255	491	1428
256	492	1425
257	494	1421
258	496	1419
259	497	1416
260	498	1411
261	499	1407
262	500	1403
263	501	1398
264	502	1394
265	503	1389
266	504	1385
267	505	1381
268	506	1376
269	508	1375
270	509	1371
271	510	1367
272	511	1363
273	512	1359
274	513	1354
275	515	1351
276	516	1347
277	517	1343
278	518	1339
279	519	1335
280	520	1330
281	524	1334
282	525	1331
283	527	1328
284	528	1325
285	529	1322
286	530	1318
287	532	1315
288	533	1311
289	535	1309
290	539	1313
291	542	1316
292	544	1313
293	545	1309
294	547	1307
295	548	1304
296	549	1301
297	550	1297
298	553	1297
299	554	1294
300	557	1294
301	558	1291
302	559	1288
303	561	1284
304	562	1281
305	563	1277
306	565	1275
307	568	1277
308	570	1275
309	572	1274
310	574	1271
311	575	1268
312	576	1265
313	577	1262
314	578	1258
315	579	1255
316	580	1251
317	583	1250
318	584	1248
319	586	1246
320	587	1242
321	588	1239
322	589	1235
323	590	1232
324	591	1229
325	593	1226
326	594	1223
327	595	1219
328	597	1218
329	599	1216
330	601	1215
331	602	1212
332	603	1209
333	604	1206
334	605	1202
335	606	1199
336	607	1195
337	608	1192
338	609	1189
339	611	1187
340	613	1185
341	614	1181
342	615	1178
343	616	1175
344	617	1172
345	618	1168
346	619	1165
347	620	1162
348	621	1159
349	622	1156
350	623	1153
351	624	1150
352	628	1151
353	630	1151
354	632	1148
355	633	1145
356	634	1142
357	636	1141
358	637	1138
359	638	1134
360	639	1131
361	641	1130
362	643	1128
363	644	1125
364	645	1122
365	646	1119
366	647	1116
367	648	1113
368	649	1110
369	650	1107
370	651	1104
371	652	1101
372	653	1098
373	654	1095
374	656	1094
375	657	1091
376	659	1090
377	661	1088
378	662	1085
379	663	1082
380	664	1079
381	665	1076
382	666	1073
383	667	1070
384	668	1067
385	669	1064
386	671	1063
387	672	1061
388	674	1059
389	675	1056
390	676	1053
391	677	1051
392	678	1048
393	679	1045
394	680	1042
395	681	1039
396	682	1036
397	683	1033
398	685	1032
399	687	1030
400	688	1027
401	689	1025
402	690	1022
403	691	1019
404	692	1016
405	693	1014
406	694	1011
407	695	1008
408	696	1005
409	697	1003
410	698	1000
411	700	999
412	702	997
413	703	995
414	704	992
415	705	990
416	706	987
417	707	985
418	708	982
419	709	979
420	710	977
421	711	974
422	712	971
423	713	969
424	715	968
425	716	965
426	717	963
427	718	960
428	720	959
429	722	957
430	723	955
431	724	953
432	726	951
433	727	949
434	729	947
435	730	945
436	732	943
437	734	942
438	735	940
439	736	937
440	738	935
441	739	933
442	740	931
443	741	928
444	742	926
445	744	924
446	745	922
447	746	920
448	748	918
449	749	915
450	750	913
451	751	910
452	752	908
453	753	905
454	754	903
455	755	900
456	756	898
457	757	895
458	758	894
459	760	892
460	761	890
461	762	887
